Method,Srednia Arytmetyczna,Odchylenie Standardowe,Wariancja,Mediana,Kurtoza,Moda,Min,Max
diffrential evolution algorithm,1.1419324127947531e-07,2.9036744069667624e-07,8.431325061673778e-14,2.376348892336158e-09,10.21193510032205,2.1663648132348542e-16,2.1663648132348542e-16,1.5976417658333838e-06
evolution strategies algorithm,5.337148546852163e-07,4.913865102996443e-06,2.4146070250446248e-11,3.35124324232877e-12,94.64845092803068,3.4477308091928516e-17,3.4477308091928516e-17,4.938088253319071e-05
genetic algorithm,0.0020792367618964087,0.0025484356540158145,6.494524282659013e-06,0.0010879888062399596,2.935358204534415,2.780363391611906e-06,2.780363391611906e-06,0.012624049632116335
artificial immune recognition system,0.09616176366909918,0.15918594983282405,0.025340166624178376,0.06926391376832886,28.18144497318171,1.0000000000000002,0.015345700941669791,1.0000004110098741
colonal selection algorithm,0.0003633328384015979,0.0026012207421510286,6.766349349396747e-06,1.86241777468843e-07,83.3043187482989,1.86241777468843e-07,1.86241777468843e-07,0.025415301968673955
dendritic cell algorithm,0.05551952994087009,0.06248018922287351,0.003903774045326079,0.03314640923305995,3.7474024912103463,0.0005310431661707267,0.0005310431661707267,0.30381775651774817
harmony search algorithm,0.4676841955501625,1.3110947682260652,1.7189694912697597,0.19573804607003875,78.23426131909295,7.894680596169151e-05,7.894680596169151e-05,12.912984392308555
mematic algorithm,1.4247439221424007e-07,1.2243961903841292e-07,1.4991460310271685e-14,9.31208887344215e-08,4.986470626823586,9.31208887344215e-08,0.0,7.448534308445413e-07
physical annealing algorithm,1.1411118300672518,2.3925568004164846,5.724328043219167,0.7131816197300449,62.49015359070194,0.015234483183384518,0.015234483183384518,22.632394861001966
greedy randomized adaptive search,0.011823183050888532,0.012006974969582558,0.00014416744792018207,0.008488645998432388,12.597976386137956,4.668476576105236e-05,4.668476576105236e-05,0.08515848010970865
random search,1.380115002588716,4.070462734779615,16.56866687522954,0.7300049125627313,79.57648258768273,0.0023254091480961595,0.0023254091480961595,40.16954425751155
tabu search,0.014190014002258354,0.014382971660755601,0.00020686987379409875,0.008601891765379198,1.0178576605377891,0.0002589096136161249,0.0002589096136161249,0.05634955081050758
ant colony system,0.13430565989856827,0.1254530194897658,0.01573846009909956,0.09332933719751893,1.3561499383884943,0.0004476389939517102,0.0004476389939517102,0.5257700103592936
particle swarm optimization algorithm,0.01480341050959081,0.01562047787664527,0.0002439993290947643,0.009383910060350394,2.7686504303372796,8.856996643388036e-05,8.856996643388036e-05,0.06784535335058124
bacterial foarging optimization algorithm,7.408675138685174e-05,7.290129367375418e-05,5.31459861930695e-09,4.611615135774623e-05,0.9398011899318832,2.313188714754229e-07,2.313188714754229e-07,0.00032826955709707394
